,gam,gam_arima,gam_arima2,gam_sa,kal_gam_static,kal_gam_dyn_gs,kal_gam_dyn_em,kal_gam_dyn_big,rf,rf_arima,gb,gb_arima
117,41048.331092776,40857.95043722612,41067.9837745657,41048.331092776,41005.27674862041,41267.96107965364,40959.9418941977,42482.41781726526,41573.089166666665,43087.65952323986,40716.56555690817,41288.94743324614
118,38715.3468339258,38273.60243747509,38632.4720970266,38660.7260664109,38526.26593699119,38840.82003053114,38901.20909953593,41456.99834805736,38423.41687500002,38962.12323678256,38731.05390835682,39046.10289149485
119,45579.8606918822,45068.31905754141,45513.3918622276,38117.2526755485,45081.460163039446,44325.25669817916,45583.338918251975,45090.99732883135,43280.6025,44283.55818349799,45295.245722602165,45531.38138308127
120,40924.1244794104,39373.43327155773,40348.6427971735,35272.7109464298,45355.74607418018,44581.0043526519,43686.26564808132,40234.6871165351,40902.36624999999,41321.02300753188,40119.23364430208,39180.47574883399
121,43990.1014426383,42988.016525897685,43630.5854303609,38755.6346838104,43560.85706647713,42467.62082726776,40335.45247917487,39534.76275997575,44702.07979166667,45072.93523810945,45352.80735208377,45127.7607695058
122,46166.9738690006,45566.63987863561,46312.9120210606,41000.4354635545,45975.400692329866,45033.997053696825,44721.49545515418,44454.68680785303,45263.12104166667,45712.01120336743,46454.95601077349,46133.64616281159
123,46054.1667709768,44582.88836447386,46376.713403481,41445.8353771369,45838.7417375298,45072.501717630126,45128.77914646493,45572.96021480409,45585.03770833334,45538.04143134945,45802.64689656389,45312.68234422516
124,41170.6408522635,40749.37444119057,41272.478789091,41170.6408522635,41116.750975882,41148.75025760399,41391.33575975688,42761.87969725978,41047.76145833333,41024.16310526696,41443.73558325126,40965.6416011247
125,39273.6528608145,38147.31697399736,38999.5356465623,39219.0320932995,39059.57401797837,39187.40396782211,39490.10410066639,41793.83047991839,38792.06791666667,38570.35979220661,39224.34915644195,38476.09734548755
126,45907.8969367,45122.83494483155,45363.9406408592,38445.2889203662,45324.88310104776,44362.1737873624,44615.11384129776,44983.813121388936,43158.06958333334,43040.40442689666,44527.714668206245,44228.925833540125
127,46731.3267472744,45938.382380646,46723.8197070262,41079.9132142937,46463.81976744678,45755.1086759242,45856.09103471815,43073.63021838972,43329.26000000002,44433.565384147005,44485.3326982736,44641.05659744157
128,46963.0257722681,46403.066948964886,47295.5902368791,41728.5590134403,46789.19976562991,46155.931322838456,46635.012939872606,45619.22567582567,44392.06145833335,46126.84083614559,46145.55609950618,46997.33090991606
129,46929.1011036251,46310.22277043307,46878.5030740147,41762.562698179,46789.851147279485,46202.00597428748,46644.744959300624,46382.51012121229,45211.984375,46590.41108512771,46300.13228116245,46796.14663887622
130,46218.0509155458,45815.71311916308,46091.4539835608,41609.7195217059,46041.11852184706,45576.52174859184,46016.65366873548,45873.82536331974,44767.41937499998,45947.59606252007,45856.53838042927,46278.1492633463
131,40636.7180859725,40044.62839312697,40522.3012108331,40636.7180859725,40575.38631862015,40825.10424919835,40724.47434424649,42080.10059400506,40925.3875,42126.52134171975,41425.58470508959,41697.0187691133
132,38304.3034061293,38047.599783916274,38383.5424872246,38249.6826386144,37991.31400248039,38338.27961207766,38746.92399973332,41151.96564481873,38446.036875,39777.78816999884,38590.36842652802,38858.258543806034
133,45494.6211330414,44821.97380592438,45695.3338228569,38032.0131167076,44928.415065973066,44287.06674315588,45428.948174739766,45371.94437035232,43832.70145833332,45196.8689393613,45170.28750552384,45579.53478847047
134,45951.104703362,45394.53455726545,45964.2979948289,40299.6911703813,45731.44162299642,45256.64916141301,45744.112965206376,41870.30777780302,47180.75895833334,48548.67794981499,47087.78962823616,47148.14243320441
